,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3
0,ca-GrQc,5.0,1.0,4.0,6.0,3.0,2.0,4.0,5.0,8.0,0.001003,0.000232,0.000276,0.000279,0.000258,0.000215,0.000252,0.000359,0.000699,,,
1,ca-HepTh,5.0,1.0,4.0,8.0,3.0,2.0,4.0,5.0,8.0,0.006575,0.000459,0.000393,0.024966,0.001926,0.000245,0.000314,0.000544,0.001087,1.0,3.5949820788530467,1.4349070100143062
2,ca-CondMat,5.0,1.0,4.0,5.0,3.0,2.0,4.0,5.0,8.0,0.001989,0.000649,0.000508,0.000436,0.004315,0.0004,0.00044,0.0009,0.002234,1.0,0.2633581671072659,6.048758049678012
3,as-caida,5.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,7.0,0.001966,0.000559,0.000356,0.000333,0.000516,0.000416,0.000324,0.000732,0.00187,1.0,4.561926605504587,0.8903312444046554
4,ca-HepPh,5.0,1.0,4.0,5.0,3.0,2.0,4.0,5.0,8.0,0.001793,0.000583,0.000534,0.000482,0.000551,0.000445,0.000454,0.000817,0.002377,1.0,5.903903903903903,1.0513368983957219
5,email-Enron,4.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,6.0,0.002266,0.000632,0.000428,0.000475,0.000652,0.00053,0.000526,0.000942,0.002782,1.0,3.719917012448133,0.754312158182583
6,ca-AstroPh,5.0,1.0,4.0,4.0,3.0,2.0,4.0,5.0,8.0,0.002197,0.000711,0.000653,0.000474,0.000702,0.000544,0.00054,0.001057,0.002817,1.0,4.770526315789473,0.8145219266714593
7,loc-Brightkite,4.0,1.0,4.0,5.0,3.0,2.0,4.0,4.0,7.0,0.003086,0.00103,0.000765,0.000672,0.00078,0.000654,0.000657,0.001295,0.002456,1.0,4.6350210970464145,0.7799077032303869
8,soc-Epinions1,4.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,0.004896,0.001667,0.000947,0.000943,0.001455,0.001238,0.000841,0.002075,0.005341,1.0,4.592261904761905,1.256514657980456
9,com-DBLP,5.0,1.0,4.0,8.0,4.0,3.0,5.0,5.0,8.0,0.01184,0.004442,0.003097,0.003852,0.003727,0.003118,0.003514,0.005077,0.014832,1.0,5.191940615058324,0.9166822692379704
10,com-Youtube,5.0,1.0,4.0,6.0,3.0,2.0,4.0,5.0,7.0,0.0524,0.012013,0.011792,0.010797,0.010425,0.008563,0.009352,0.015574,0.042485,1.0,3.0737279335410173,0.7982740021574973
11,amazon0601,5.0,1.0,2.0,4.0,3.0,2.0,4.0,5.0,8.0,0.036821,0.006909,0.006334,0.00705,0.009706,0.007643,0.008604,0.0123,0.04888,0.9999999999999999,4.853199962952672,1.233376485818524
12,higgs-twitter,4.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,6.0,0.112516,0.021126,0.027528,0.033746,0.046349,0.036409,0.04363,0.038962,0.142708,1.0,5.2228368794326245,0.7532937806873977
13,wikipedia-20051105,5.0,1.0,4.0,9.0,3.0,2.0,5.0,4.0,8.0,0.208935,0.036987,0.073784,0.099106,0.061887,0.048087,0.084801,0.067892,0.28919,1.0,3.3342025721567,0.7884351262718278
14,soc-LiveJournal1,4.0,1.0,4.0,5.0,3.0,3.0,4.0,4.0,7.0,0.703098,0.142783,0.32026,0.262282,0.267,0.270999,0.267811,0.351304,0.928059,0.9999999999999999,2.108197283716425,0.7224834883640513
15,com-Orkut,4.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,6.0,0.968864,0.186303,0.226782,0.209155,0.241401,0.233696,0.207431,0.345169,1.08641,1.0,2.6806948246543794,0.7576005404828788
16,road_usa,15.0,1.0,4.0,3168.0,5.0,4.0,4.0,15.0,22.0,2.2943,0.134316,0.135786,40.9788,0.141824,0.116749,0.115525,0.431317,1.0768,1.0,4.632277497549663,0.8918032786885244
17,kmer_A2a,11.0,1.0,4.0,262.0,6.0,4.0,3.0,11.0,16.0,19.0127,1.71223,2.74222,92.9506,2.72036,2.21561,1.72677,6.57706,10.0841,1.0,0.05598748621238299,2.130664933135215
18,kmer_V1r,10.0,1.0,4.0,149.0,5.0,3.0,3.0,10.0,15.0,18.7236,2.11032,2.03752,32.4977,2.15756,1.6936,1.59343,6.68921,11.258,1.0,0.2045462858765839,1.8854136710266658
19,uk-2002,7.0,1.0,4.0,16.0,4.0,3.0,5.0,7.0,10.0,2.48341,0.279149,0.376258,0.942787,0.396845,0.346194,0.443537,0.675498,3.32366,1.0,0.5761515430322761,1.6631373245691954
20,delaunay_n10,5.0,1.0,2.0,5.0,3.0,2.0,4.0,5.0,9.0,0.000927,0.000148,0.000121,0.000184,0.000201,0.000162,0.000168,0.000216,0.000586,1.0,2.634115659210405,0.7471913492956561
21,delaunay_n11,6.0,1.0,2.0,6.0,3.0,2.0,4.0,6.0,9.0,0.002106,0.000159,0.000125,0.000215,0.000199,0.000151,0.000191,0.00024,0.000617,1.0,5.038043478260869,1.5819112627986347
22,delaunay_n12,7.0,1.0,4.0,8.0,3.0,2.0,4.0,7.0,10.0,0.001378,0.000183,0.00023,0.000285,0.00022,0.000169,0.000193,0.000328,0.00081,1.0,9.795348837209302,3.4132901134521876
23,delaunay_n13,7.0,1.0,4.0,8.0,3.0,2.0,4.0,7.0,11.0,0.001691,0.000235,0.000285,0.000334,0.000249,0.000213,0.000941,0.000425,0.001178,1.0,4.835087719298246,1.7012345679012346
24,delaunay_n14,8.0,1.0,4.0,11.0,3.0,2.0,4.0,8.0,12.0,0.002318,0.000361,0.000333,0.000541,0.000323,0.000259,0.000313,0.000762,0.004776,1.0,5.062874251497006,1.435483870967742
25,delaunay_n15,8.0,1.0,4.0,10.0,3.0,2.0,4.0,8.0,12.0,0.00329,0.000554,0.000452,0.000727,0.000423,0.000339,0.000467,0.001193,0.002891,1.0,4.284658040665435,0.48534338358458967
26,delaunay_n16,8.0,1.0,4.0,13.0,3.0,2.0,5.0,8.0,13.0,0.007116,0.00093,0.000713,0.001398,0.00072,0.002358,0.000847,0.002082,0.004333,0.9999999999999999,4.525447042640991,1.1380145278450364
27,delaunay_n17,9.0,1.0,4.0,10.0,3.0,2.0,5.0,9.0,13.0,0.010628,0.001524,0.001211,0.003662,0.001048,0.000868,0.00152,0.006659,0.009812,1.0,5.090128755364807,1.6422801753981076
28,delaunay_n18,9.0,1.0,4.0,13.0,3.0,2.0,5.0,9.0,14.0,0.014231,0.002657,0.002353,0.004147,0.002033,0.001744,0.00437,0.004833,0.016531,1.0,2.902239213544511,1.0831634732980027
29,delaunay_n19,10.0,1.0,4.0,12.0,3.0,2.0,5.0,10.0,14.0,0.034557,0.003454,0.003727,0.008674,0.003006,0.002545,0.004379,0.009917,0.03148,0.9999999999999999,3.4316373281890526,0.8608674611336277
30,delaunay_n20,11.0,1.0,4.0,13.0,3.0,2.0,5.0,11.0,15.0,0.07262,0.006299,0.006903,0.013839,0.005952,0.006651,0.007693,0.019449,0.071132,1.0,3.983975097994005,1.0977445997458704
31,delaunay_n21,11.0,1.0,4.0,13.0,3.0,2.0,5.0,11.0,16.0,0.169744,0.012191,0.015289,0.030521,0.013443,0.011871,0.018764,0.037987,0.129723,1.0,5.2474889804176605,1.0209188550863184
32,delaunay_n22,11.0,1.0,4.0,13.0,3.0,2.0,5.0,11.0,16.0,0.429591,0.027447,0.038343,0.083549,0.032068,0.027735,0.047415,0.105019,0.301349,1.0,5.561547786769765,1.308511212352474
33,delaunay_n23,12.0,1.0,4.0,13.0,3.0,3.0,3.0,12.0,17.0,0.850296,0.047468,0.071609,0.147267,0.060188,0.06244,0.060934,0.208837,0.583752,1.0,5.141785060264037,1.4255597330669756
34,delaunay_n24,12.0,1.0,4.0,17.0,3.0,3.0,5.0,12.0,17.0,1.57757,0.095584,0.119282,0.294581,0.100036,0.105745,0.14413,0.33329,1.20582,1.0,5.773839353011876,1.4566048595979115
35,,,,,,,,,,,,,,,,,,,,0.9999999999999999,5.35530125839752,1.3082964289860841
