,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4
0,ca-GrQc,5.0,1.0,5.0,5.0,3.0,3.0,11.0,9.0,9.0,0.003156,0.001914,0.000323,0.000222,0.00024,0.000262,0.000644,0.000801,0.000833,,,,
1,ca-HepTh,6.0,1.0,5.0,6.0,4.0,2.0,11.0,9.0,9.0,0.001154,0.000698,0.000318,0.000283,0.000335,0.000238,0.001029,0.001489,0.001476,1.0,4.900621118012422,3.9400749063670415,3.7887154861944774
2,ca-CondMat,6.0,1.0,5.0,6.0,3.0,2.0,11.0,9.0,9.0,0.002132,0.001424,0.000537,0.00045,0.000469,0.000391,0.002487,0.003542,0.003346,0.9999999999999999,1.121477162293489,0.7750167897918067,0.7818428184281843
3,as-caida,5.0,1.0,3.0,3.0,3.0,2.0,12.0,8.0,8.0,0.001763,0.001102,0.000342,0.000301,0.000467,0.00039,0.011248,0.002529,0.002536,1.0,0.8572577402492964,0.6019198193111237,0.6371787208607292
4,ca-HepPh,5.0,1.0,5.0,4.0,3.0,2.0,11.0,9.0,9.0,0.001496,0.001139,0.000694,0.000515,0.000586,0.000529,0.002704,0.003512,0.003244,1.0,0.1567389758179232,0.697113483590352,0.6951892744479495
5,email-Enron,4.0,1.0,3.0,4.0,3.0,2.0,10.0,7.0,7.0,0.002311,0.000984,0.000614,0.000512,0.000836,0.000605,0.003064,0.003461,0.003288,1.0,0.5532544378698225,0.4259681093394077,0.4611590628853267
6,ca-AstroPh,5.0,1.0,5.0,4.0,3.0,2.0,10.0,9.0,9.0,0.002049,0.001077,0.000772,0.000513,0.000681,0.00059,0.004368,0.003654,0.003575,1.0,0.7542428198433421,0.6677260907252239,0.7028588807785888
7,loc-Brightkite,6.0,1.0,5.0,5.0,3.0,2.0,9.0,8.0,8.0,0.00422,0.001718,0.000989,0.000725,0.0009,0.000722,0.003595,0.003469,0.003437,1.0,0.46909340659340654,0.5607553366174055,0.5731468531468532
8,soc-Epinions1,4.0,1.0,3.0,3.0,3.0,2.0,8.0,6.0,6.0,0.005121,0.00273,0.001318,0.001055,0.00182,0.001436,0.019038,0.005791,0.005594,1.0,1.1738525730180807,1.2164889017007783,1.2278149549025312
9,com-DBLP,6.0,1.0,5.0,7.0,4.0,3.0,14.0,9.0,9.0,0.015044,0.012341,0.003963,0.003575,0.004333,0.003769,0.021581,0.020162,0.019089,0.9999999999999999,0.26898833911125114,0.8843032291486789,0.9154451197711833
10,com-Youtube,6.0,1.0,5.0,6.0,3.0,2.0,9.0,8.0,8.0,0.064198,0.022886,0.018782,0.014893,0.016217,0.014144,0.056483,0.060724,0.059925,0.9999999999999999,0.697094666604884,0.7461561353040372,0.7880978574047882
11,amazon0601,5.0,1.0,3.0,4.0,3.0,2.0,12.0,9.0,9.0,0.045223,0.01608,0.010958,0.009035,0.014677,0.011761,0.077255,0.067539,0.06705,1.0,1.136589770373387,1.0572096699822147,1.071305798915311
12,higgs-twitter,4.0,1.0,3.0,4.0,3.0,2.0,9.0,7.0,7.0,0.148253,0.033037,0.057807,0.052752,0.0767,0.062674,0.234288,0.200677,0.200484,1.0,0.5853731150087373,0.6695834999037593,0.6744668158090977
13,wikipedia-20051105,4.0,1.0,5.0,9.0,3.0,2.0,24.0,9.0,9.0,0.252866,0.066151,0.165316,0.185098,0.110292,0.087452,0.880332,0.4346,0.438415,1.0,0.6327810216485693,0.7387642829023754,0.7394754693641388
14,road_usa,17.0,1.0,7.0,3154.0,5.0,4.0,22.0,23.0,23.0,2.42761,0.208597,0.26877,46.1877,0.175297,0.146204,1.01708,1.63958,1.6521,1.0,0.28723935969611464,0.5818361711919006,0.576773148728944
15,soc-LiveJournal1,4.0,1.0,5.0,5.0,3.0,3.0,17.0,8.0,8.0,0.816425,0.220109,0.491445,0.284358,0.388538,0.388482,2.07701,1.23577,1.27896,1.0,2.386842726235891,1.4806291855231217,1.469408631438775
16,com-Orkut,3.0,1.0,3.0,3.0,2.0,2.0,11.0,7.0,7.0,0.90416,0.245106,0.448557,0.293748,0.404218,0.398439,2.17278,1.59086,1.66258,1.0,0.3930770675153225,0.6606609644189452,0.6383506911865889
17,kmer_A2a,14.0,1.0,7.0,248.0,6.0,3.0,16.0,17.0,17.0,25.4833,2.54212,4.23144,82.7873,3.85685,2.09446,11.1074,12.2521,15.6141,1.0,0.41613048720993384,0.5683466804118527,0.543829469860097
18,kmer_V1r,17.0,1.0,5.0,148.0,5.0,3.0,17.0,16.0,16.0,33.6915,3.15881,2.69063,35.3069,2.45657,1.9354,14.3549,13.6266,14.3939,1.0,2.294263283936835,2.0799128312697412,1.632069731844935
19,uk-2002,13.0,1.0,5.0,16.0,4.0,3.0,1575.0,11.0,11.0,4.64194,0.614652,0.739338,1.73907,0.644527,0.540781,356.129,3.16398,3.17123,1.0,2.3470382935443643,2.4724802958918586,2.3406790376478925
20,delaunay_n10,5.0,1.0,3.0,6.0,3.0,2.0,10.0,10.0,10.0,0.000508,0.000121,0.000105,0.000111,0.000131,0.00012,0.000332,0.000384,0.000396,1.0,0.013034434151669761,1.4671205254141935,1.4637664250148996
21,delaunay_n11,6.0,1.0,3.0,6.0,3.0,2.0,12.0,10.0,10.0,0.000571,0.00017,9.7e-05,0.000119,0.000123,9.9e-05,0.0005,0.000457,0.000477,1.0,1.5301204819277108,1.3229166666666665,1.282828282828283
22,delaunay_n12,6.0,1.0,5.0,8.0,3.0,2.0,12.0,11.0,11.0,0.000705,0.000284,0.000198,0.000177,0.000149,0.000126,0.000678,0.000736,0.000733,1.0,1.142,1.2494529540481403,1.1970649895178198
23,delaunay_n13,7.0,1.0,5.0,8.0,3.0,2.0,12.0,12.0,12.0,0.00102,0.000473,0.00023,0.000345,0.000196,0.000166,0.001028,0.001451,0.001266,1.0,1.0398230088495575,0.9578804347826086,0.9618008185538881
24,delaunay_n14,7.0,1.0,5.0,10.0,3.0,2.0,13.0,13.0,13.0,0.001529,0.000807,0.00033,0.000448,0.00027,0.000232,0.001687,0.002368,0.002463,1.0,0.9922178988326847,0.7029634734665748,0.8056872037914693
25,delaunay_n15,7.0,1.0,5.0,8.0,3.0,2.0,14.0,13.0,13.0,0.002731,0.001318,0.000591,0.000578,0.000428,0.000372,0.003261,0.004203,0.003758,0.9999999999999999,0.9063426200355662,0.6456925675675675,0.6207876573284612
26,delaunay_n16,7.0,1.0,5.0,11.0,3.0,2.0,15.0,14.0,14.0,0.004885,0.002534,0.00105,0.001485,0.000775,0.000651,0.006046,0.006317,0.006319,1.0,0.8374731677399571,0.6497739709731144,0.7267163384779138
27,delaunay_n17,8.0,1.0,5.0,9.0,3.0,2.0,15.0,14.0,14.0,0.009695,0.004946,0.001648,0.001965,0.001204,0.001048,0.010074,0.012104,0.010773,1.0,0.8079722130334104,0.773310115561184,0.7730653584427915
28,delaunay_n18,8.0,1.0,5.0,11.0,3.0,2.0,15.0,15.0,15.0,0.012434,0.009725,0.003319,0.004484,0.002527,0.002258,0.018797,0.020224,0.018869,1.0,0.9623783998411753,0.8009748843357569,0.8999350227420403
29,delaunay_n19,9.0,1.0,5.0,11.0,3.0,2.0,16.0,15.0,15.0,0.025747,0.015584,0.004675,0.007108,0.003499,0.003587,0.037356,0.039262,0.038608,1.0,0.6614885354045859,0.6148140822784811,0.6589644390269754
30,delaunay_n20,9.0,1.0,5.0,12.0,3.0,2.0,18.0,16.0,16.0,0.054509,0.033393,0.009151,0.01481,0.007843,0.006041,0.092338,0.089268,0.089429,0.9999999999999999,0.6892333226255488,0.6557740308695431,0.6668825113966017
31,delaunay_n21,9.0,1.0,5.0,12.0,3.0,2.0,18.0,17.0,17.0,0.120544,0.058374,0.020148,0.033537,0.015655,0.013862,0.204278,0.192615,0.192092,1.0,0.5903203448201174,0.610621947394363,0.6095226380704246
32,delaunay_n22,9.0,1.0,5.0,11.0,3.0,2.0,19.0,17.0,17.0,0.376453,0.10298,0.070957,0.111156,0.051746,0.043792,0.381048,0.378967,0.378965,0.9999999999999999,0.5900978078892489,0.6258287256963372,0.6275326406097077
33,delaunay_n23,10.0,1.0,5.0,12.0,3.0,3.0,19.0,18.0,18.0,0.570861,0.225837,0.085908,0.13089,0.060027,0.063373,0.680601,0.700139,0.702568,1.0,0.9879411517709055,0.9933661770022192,0.9933714195242305
