,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3
0,ca-GrQc,5.0,1.0,5.0,6.0,5.0,2.0,7.0,9.0,9.0,0.000961,0.000247,0.000322,0.000266,0.000261,0.000263,0.000597,0.000705,0.000862,,,
1,ca-HepTh,6.0,1.0,5.0,7.0,5.0,2.0,7.0,9.0,9.0,0.001473,0.000469,0.000383,0.000377,0.000368,0.000291,0.000802,0.001028,0.001263,1.0,3.6819923371647514,1.1148491879350348
2,ca-CondMat,6.0,1.0,5.0,5.0,5.0,2.0,7.0,9.0,9.0,0.002252,0.000804,0.000524,0.000378,0.000594,0.000378,0.001579,0.001835,0.00453,1.0,4.002717391304348,1.166270783847981
3,as-caida,5.0,1.0,3.0,3.0,3.0,2.0,5.0,8.0,8.0,0.001981,0.000646,0.000361,0.000294,0.00053,0.000397,0.001404,0.001784,0.002262,1.0,3.791245791245791,0.4971302428256071
4,ca-HepPh,5.0,1.0,5.0,5.0,5.0,2.0,7.0,9.0,9.0,0.043669,0.000636,0.000532,0.000377,0.000614,0.000413,0.002024,0.001825,0.002589,1.0,3.737735849056604,0.8757736516357206
5,email-Enron,4.0,1.0,3.0,4.0,3.0,2.0,5.0,7.0,7.0,0.003135,0.003999,0.000516,0.000445,0.000807,0.000537,0.00133,0.001566,0.002798,1.0,71.12214983713355,16.86713016608729
6,ca-AstroPh,5.0,1.0,5.0,4.0,4.0,2.0,6.0,9.0,9.0,0.00217,0.000727,0.000715,0.000435,0.000837,0.000545,0.00163,0.001909,0.002992,1.0,3.8847583643122676,1.1204431736954967
7,loc-Brightkite,6.0,1.0,5.0,5.0,5.0,2.0,6.0,8.0,8.0,0.004241,0.003026,0.000925,0.000635,0.001033,0.000675,0.001729,0.001985,0.002828,1.0,2.592592592592593,0.7252673796791445
8,soc-Epinions1,4.0,1.0,3.0,3.0,3.0,2.0,5.0,6.0,6.0,0.004729,0.001968,0.001149,0.000903,0.001242,0.001313,0.002986,0.003101,0.0051,0.9999999999999999,4.105517909002904,1.4996463932107498
9,com-DBLP,6.0,1.0,5.0,7.0,5.0,2.0,7.0,9.0,9.0,0.011463,0.006746,0.003552,0.002892,0.002991,0.002497,0.008115,0.00855,0.01463,1.0,3.8075684380032206,0.9272549019607842
10,com-Youtube,6.0,1.0,5.0,6.0,5.0,2.0,6.0,8.0,8.0,0.049033,0.019996,0.012856,0.010673,0.011457,0.008878,0.034917,0.047006,0.053064,1.0,3.8324974924774318,0.7835269993164728
11,amazon0601,5.0,1.0,3.0,4.0,3.0,2.0,6.0,9.0,9.0,0.030775,0.009755,0.00761,0.008532,0.006999,0.007741,0.040145,0.054424,0.060734,1.0,4.279741642663874,0.9240351273933364
12,higgs-twitter,4.0,1.0,3.0,4.0,4.0,2.0,5.0,7.0,7.0,0.096789,0.020659,0.036519,0.035426,0.041406,0.036992,0.118925,0.153441,0.164019,1.0,4.397056722388912,0.5067178186847564
13,wikipedia-20051105,4.0,1.0,5.0,9.0,5.0,2.0,7.0,9.0,9.0,0.143954,0.036189,0.084277,0.100939,0.05636,0.048693,0.229803,0.279372,0.316933,1.0,2.337559773945805,0.5901084630439156
14,soc-LiveJournal1,4.0,1.0,5.0,5.0,4.0,3.0,6.0,8.0,8.0,0.596818,0.150835,0.366946,0.257875,0.222243,0.268714,0.835832,1.00046,1.07959,1.0,2.5541873669268984,0.454209564797607
15,com-Orkut,3.0,1.0,3.0,3.0,3.0,2.0,4.0,7.0,7.0,0.623364,0.167244,0.280691,0.198155,0.215976,0.226411,0.995072,1.40463,1.52318,1.0,2.6854299123031993,0.5528191257792309
16,road_usa,17.0,1.0,5.0,3150.0,10.0,4.0,16.0,23.0,23.0,2.14136,0.150779,0.153342,48.5815,0.265272,0.144027,0.765481,1.04566,1.17131,1.0,2.886265140571175,0.4092516971073675
17,kmer_A2a,14.0,1.0,5.0,259.0,10.0,4.0,13.0,17.0,17.0,20.2242,1.66981,2.4257,64.5006,3.08882,2.40064,9.18244,10.1309,11.641,1.0,8.072318224313157,1.8281752909135924
18,kmer_V1r,17.0,1.0,5.0,148.0,9.0,4.0,12.0,16.0,16.0,32.7726,2.13986,2.39702,33.1332,3.534,2.09044,9.66138,11.2799,12.6483,1.0,6.54754890216976,1.7373249720814363
19,uk-2002,13.0,1.0,5.0,16.0,8.0,3.0,9.0,11.0,11.0,3.74813,0.353738,0.41049,0.921489,1.08493,0.347176,3.97375,4.99344,5.19742,1.0,9.273514431239388,2.591067574298522
20,delaunay_n10,5.0,1.0,3.0,6.0,4.0,2.0,7.0,10.0,10.0,0.000949,0.000161,0.000178,0.000229,0.000179,0.000186,0.000465,0.000572,0.000625,0.9999999999999999,3.4547205810513124,0.7211520331241269
21,delaunay_n11,6.0,1.0,5.0,7.0,5.0,2.0,8.0,10.0,10.0,0.001056,0.000188,0.000249,0.000232,0.000203,0.000161,0.000535,0.000628,0.000708,1.0,5.301675977653631,1.5184
22,delaunay_n12,6.0,1.0,5.0,8.0,5.0,2.0,8.0,11.0,11.0,0.001189,0.003348,0.000292,0.000307,0.000245,0.000213,0.000629,0.000785,0.000905,1.0,5.2019704433497544,1.4915254237288138
23,delaunay_n13,7.0,1.0,5.0,9.0,5.0,2.0,9.0,12.0,12.0,0.001494,0.000328,0.00031,0.000358,0.002752,0.000194,0.000874,0.001077,0.001476,1.0,4.853061224489796,1.3138121546961326
24,delaunay_n14,7.0,1.0,5.0,11.0,5.0,2.0,9.0,13.0,13.0,0.001952,0.000649,0.007754,0.000536,0.00049,0.000254,0.001367,0.001576,0.00472,1.0,0.5428779069767442,1.0121951219512195
25,delaunay_n15,7.0,1.0,5.0,10.0,5.0,2.0,10.0,13.0,13.0,0.004058,0.001,0.000583,0.000682,0.000684,0.00038,0.002505,0.00261,0.004298,1.0,3.983673469387755,0.4135593220338983
26,delaunay_n16,7.0,1.0,5.0,13.0,5.0,2.0,10.0,14.0,14.0,0.004752,0.001765,0.000917,0.001309,0.002794,0.000568,0.003039,0.003374,0.004856,1.0,5.932748538011696,0.9441600744532341
27,delaunay_n17,8.0,1.0,5.0,10.0,5.0,2.0,11.0,14.0,14.0,0.009061,0.002979,0.001506,0.001736,0.00295,0.000961,0.005836,0.005766,0.00987,1.0,1.7007874015748032,0.9785831960461285
28,delaunay_n18,8.0,1.0,5.0,13.0,5.0,2.0,11.0,15.0,15.0,0.014186,0.005622,0.002662,0.004808,0.00269,0.003456,0.011428,0.011911,0.016322,1.0,3.0715254237288137,0.9180344478216819
29,delaunay_n19,9.0,1.0,5.0,12.0,6.0,2.0,12.0,15.0,15.0,0.025751,0.008774,0.004099,0.005961,0.006361,0.003273,0.036822,0.026509,0.030836,1.0,5.2736059479553905,0.8691336845974759
30,delaunay_n20,9.0,1.0,5.0,13.0,5.0,2.0,12.0,16.0,16.0,0.053139,0.015683,0.009338,0.012043,0.011883,0.005868,0.070039,0.085558,0.08963,1.0,4.0482628517528685,0.8350953431054611
31,delaunay_n21,9.0,1.0,5.0,13.0,6.0,2.0,13.0,17.0,17.0,0.128918,0.028391,0.019293,0.033686,0.025545,0.013939,0.115938,0.138361,0.148934,1.0,4.471850542792224,0.5928706906169809
32,delaunay_n22,9.0,1.0,5.0,13.0,6.0,2.0,13.0,17.0,17.0,0.309862,0.060429,0.0565,0.105302,0.053586,0.03464,0.223481,0.266597,0.28443,1.0,5.046701898610295,0.8656048988142399
33,delaunay_n23,10.0,1.0,5.0,13.0,6.0,3.0,14.0,18.0,18.0,0.652388,0.127976,0.105468,0.203444,0.090438,0.077965,0.631143,0.779518,0.804723,1.0,5.782517821819132,1.089413915550399
34,delaunay_n24,10.0,1.0,5.0,17.0,6.0,3.0,14.0,18.0,18.0,1.11297,0.25507,0.209934,0.496099,0.186086,0.158823,0.946854,1.08193,1.17537,1.0,7.213649129790574,0.8106988367425809
35,,,,,,,,,,,,,,,,,,,,1.0,5.980944294573477,0.9469103346180352
