,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3
0,ca-GrQc,5.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0006796,0.0003312,0.000239,0.0002854,0.0002504,0.0003136,0.0002162,0.0002696,0.0009474,0.0019026,,,
1,ca-HepTh,6.0,1.0,7.0,5.0,3.0,5.0,2.0,5.0,7.0,9.0,0.0014686,0.000643,0.0005658,0.0005386,0.0004718,0.0006712,0.0004046,0.0006354,0.0015904,0.0035046,0.9999999999999999,2.381219341275403,0.3571954167980658
2,ca-CondMat,6.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0055426,0.001546,0.0014146,0.0016368,0.00151,0.0019142,0.0012072,0.0016452,0.005475,0.011829,1.0,2.7266988488674344,0.4190492495577241
3,as-caida,5.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,8.0,0.0045792,0.0014316,0.000904,0.0011516,0.0016528,0.0013146,0.0013264,0.0009126,0.0038832,0.0103952,1.0,3.3862414467253172,0.4685603178628794
4,ca-HepPh,5.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0042488,0.0011722,0.001199,0.0015172,0.0015218,0.0018212,0.0011274,0.0014044,0.0050936,0.0106524,1.0,3.9763806877387986,0.4405110050792673
5,email-Enron,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,7.0,0.0058842,0.0019702,0.001244,0.001602,0.0025172,0.001789,0.0020556,0.0012372,0.004614,0.012526,1.0,2.8004218296862637,0.39885847320791556
6,ca-AstroPh,5.0,1.0,5.0,4.0,3.0,5.0,2.0,4.0,6.0,9.0,0.0071636,0.0017952,0.0018404,0.0019804,0.0023438,0.0027672,0.0018694,0.0022124,0.0063856,0.01766,1.0,3.673033707865169,0.46975890148491134
7,loc-Brightkite,6.0,1.0,5.0,4.0,3.0,5.0,2.0,4.0,6.0,8.0,0.0119488,0.0031226,0.0025412,0.0027252,0.0035956,0.0038526,0.0028728,0.003029,0.0075558,0.0181708,0.9999999999999999,3.6172490405978586,0.4056398640996603
8,soc-Epinions1,4.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,6.0,0.0167322,0.0051136,0.0030006,0.0042928,0.0058322,0.0058222,0.0042028,0.0029696,0.0127194,0.0299728,1.0,4.384558931454572,0.6575824949919652
9,com-DBLP,6.0,1.0,7.0,5.0,3.0,5.0,2.0,5.0,7.0,9.0,0.165054,0.023108,0.028937,0.0273754,0.030158,0.0314928,0.0241556,0.0320658,0.0971456,0.203188,1.0,3.8977357435706295,0.5582461431698073
10,com-Youtube,6.0,1.0,5.0,4.0,3.0,5.0,2.0,4.0,6.0,8.0,0.425771,0.0776982,0.0905128,0.0822816,0.126074,0.140741,0.102868,0.107638,0.193245,0.416658,1.0,6.029281763919431,0.8123215937949092
11,amazon0601,5.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,9.0,0.398299,0.0646694,0.0625974,0.0685082,0.132838,0.104738,0.100084,0.0623532,0.205059,0.572074,1.0,5.174559075175981,1.0218716549304225
12,higgs-twitter,4.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,7.0,1.32043,0.231881,0.304061,0.3419,0.588551,0.411311,0.46558,0.473861,0.677315,1.62872,1.0,5.813887972534674,0.6962368504773858
13,wikipedia-20051105,4.0,1.0,9.0,5.0,3.0,5.0,2.0,5.0,7.0,9.0,2.06673,0.447325,1.15396,0.700021,0.917304,1.19076,0.678691,1.17877,1.53707,3.11526,1.0,3.8620356829482305,0.810716390785402
14,soc-LiveJournal1,4.0,1.0,5.0,4.0,3.0,5.0,3.0,3.0,6.0,8.0,7.48323,1.56069,2.47207,2.21105,3.1768,3.76683,3.06317,2.88283,5.25908,10.4985,1.0,2.9523828570857162,0.6634213516688816
15,com-Orkut,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,7.0,9.23179,2.35387,1.72826,1.95258,4.03999,4.22202,3.88539,3.42809,5.25473,13.1168,1.0,3.3844689174826437,0.7127903986283755
16,road_usa,17.0,1.0,3155.0,10.0,5.0,5.0,3.0,3.0,16.0,23.0,10.5787,1.54436,304.232,2.43865,1.62859,1.69527,1.50585,1.47878,7.40756,14.1051,0.9999999999999999,4.727995779942435,0.7038141924859722
17,kmer_A2a,14.0,1.0,241.0,10.0,6.0,5.0,3.0,3.0,13.0,17.0,115.214,16.3768,271.531,23.2997,19.9952,16.1828,14.5824,14.4542,63.9239,106.884,1.0,4.3379328726959585,0.7499911379571927
18,kmer_V1r,17.0,1.0,155.0,9.0,6.0,5.0,3.0,3.0,12.0,16.0,127.486,18.7959,141.574,25.0454,18.6778,15.6159,15.067,14.7544,68.8785,120.488,1.0,4.944870534813752,1.0779349575240447
19,uk-2002,13.0,1.0,16.0,8.0,4.0,5.0,3.0,3.0,9.0,11.0,30.5315,2.58493,10.6413,6.58696,5.79031,5.73946,4.82476,4.47816,15.2978,27.9712,1.0,5.0901962036940915,1.0580804727441737
20,delaunay_n10,5.0,1.0,4.0,4.0,2.0,3.0,1.0,4.0,7.0,10.0,0.000187,7.86e-05,5.36e-05,5.76e-05,5.46e-05,6.14e-05,4.14e-05,6.92e-05,0.000232,0.0005182,0.9999999999999999,4.635142766921311,1.091533434389658
21,delaunay_n11,6.0,1.0,5.0,4.0,3.0,5.0,2.0,4.0,8.0,10.0,0.0004096,0.000138,0.000115,0.0001148,0.0001138,0.0001512,9.88e-05,0.0001252,0.0004962,0.0009974,1.0,3.246527777777778,0.3608645310690853
22,delaunay_n12,6.0,1.0,5.0,4.0,3.0,5.0,2.0,4.0,8.0,11.0,0.0006948,0.0002884,0.000212,0.0002112,0.000208,0.0002616,0.00022,0.0002334,0.0008928,0.0021056,1.0,3.56794425087108,0.41066773611389606
23,delaunay_n13,7.0,1.0,6.0,5.0,3.0,5.0,2.0,4.0,9.0,12.0,0.001604,0.0005038,0.0004594,0.0004628,0.00041,0.0005496,0.000344,0.0004784,0.0020176,0.0046752,1.0,3.289772727272727,0.3299772036474164
24,delaunay_n14,7.0,1.0,7.0,5.0,3.0,5.0,2.0,4.0,10.0,13.0,0.0034076,0.0011748,0.0011282,0.0010498,0.0009242,0.0011312,0.0007758,0.0010216,0.0043636,0.0099414,1.0,3.4658599827139156,0.3430869267624914
25,delaunay_n15,7.0,1.0,7.0,5.0,3.0,5.0,2.0,4.0,10.0,13.0,0.006262,0.0021172,0.0017704,0.001796,0.001494,0.0019802,0.0012702,0.001728,0.0082176,0.0193272,1.0,3.2459516098304437,0.34276862413744547
26,delaunay_n16,7.0,1.0,10.0,5.0,3.0,5.0,2.0,4.0,10.0,14.0,0.0120038,0.0048336,0.0059486,0.0041672,0.0035296,0.0048238,0.0030894,0.0044298,0.0169124,0.0418798,1.0,3.4866369710467704,0.3239993377209322
